Country,Energy balance,Standard international energy product classification (SIEC),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Portugal,Gross available energy,Total,207647.16,210442.706,223173.364,219009.69,223625.897,246702.856,244747.37,257440.402,276703.428,299655.511,302903.625,302718.131,315069.522,308066.034,318746.257,325819.297,311117.344,310424.096,303737.693,298351.013,288910.327,282943.003,267095.609,267957.695,271218.258,281797.221,282423.862,295633.286,288925.243,289097.433,256868.162,258224.738,270851.994,
Portugal,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Total energy supply,Total,194979.082,197404.217,209905.283,207065.382,211868.753,234738.637,232676.284,245198.93,265461.681,285290.861,287334.919,289654.903,302149.405,293459.636,302657.937,310333.45,294477.022,294876.04,287449.36,283306.013,273366.716,265800.225,249338.942,249617.139,252941.314,262167.776,260184.973,271706.571,263661.567,261063.806,242799.544,242812.68,246520.359,
Romania,Available for final consumption,Total,511414.631,414261.583,334942.913,326257.851,303548.776,336063.115,349410.528,330145.588,315845.913,279998.247,280514.731,286252.185,285279.314,293228.511,293956.998,301889.36,307826.967,305677.65,302936.446,280047.286,288381.28,290863.019,279331.972,264023.258,262312.204,265282.358,268827.005,283497.402,289571.932,291570.393,291767.687,311027.455,287875.642,
Romania,Gross available energy,Total,734820.275,603427.208,538595.878,534533.621,502959.919,544154.848,557665.134,523565.024,479581.283,423235.529,427483.783,430224.07,445649.442,464352.37,457588.285,449921.541,466339.695,463337.028,461587.113,404810.154,407299.56,415895.954,407035.537,371106.544,368268.925,371201.087,370140.671,390331.798,390887.076,386574.228,375241.363,399218.107,368350.011,
Romania,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Total energy supply,Total,732039.525,601454.958,535631.378,531532.371,500999.919,541962.098,556636.134,522095.024,477949.561,421679.779,425977.033,428876.57,444497.942,462955.87,455959.035,448458.201,464537.619,461491.92,459213.672,402898.196,405182.16,414098.759,405322.037,368699.703,364933.773,367899.594,366396.052,386100.302,389079.068,384401.52,374189.834,397866.363,367085.012,
Slovakia,Available for final consumption,Total,176356.598,152060.169,144443.671,133147.525,128841.108,129890.038,137122.459,138873.553,138168.046,134445.097,135845.404,135404.818,135736.068,128887.946,128844.595,135913.229,132684.125,134152.78,137723.809,126386.032,141735.458,135843.175,127326.713,130300.195,117524.211,123400.574,126601.648,135750.365,135808.275,131079.285,125809.609,137320.638,128661.975,
Slovakia,Gross available energy,Total,247508.953,222051.291,210075.173,206119.871,202639.552,206805.299,210267.006,210473.128,204057.21,205055.928,206215.312,215141.281,216825.796,215678.314,212360.349,217468.644,215627.949,206504.363,212393.463,194106.947,214320.042,207770.665,201217.944,202970.16,187601.505,195971.046,197754.384,207983.163,203921.389,197922.388,191274.169,206930.882,193367.417,
Slovakia,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Total energy supply,Total,247508.953,222051.291,210075.173,206119.871,202247.552,206327.549,209801.506,210044.378,203701.96,204810.928,205896.812,214780.398,216284.671,215284.101,212047.584,217011.525,215160.058,205927.016,211659.751,193577.725,213838.92,207265.498,200784.944,202489.049,187192.56,195465.879,197177.051,207514.08,203368.111,197393.166,190937.391,206666.271,192970.5,
Slovenia,Available for final consumption,Total,43303.495,43637.867,39747.371,42577.029,45142.577,48910.222,52835.731,54301.666,52675.896,54977.485,55704.941,58817.683,56872.361,59429.377,61249.402,63301.103,63242.586,63464.817,67213.722,59260.242,61355.919,60121.715,58603.352,57342.325,55179.53,56423.515,58630.86,59515.089,59826.219,58847.159,53536.076,57360.17,56657.315,
Slovenia,Gross available energy,Total,66684.688,64809.065,60140.771,63147.79,65716.958,70849.543,73823.692,76740.065,75302.234,75160.675,76307.18,81113.22,81271.304,82579.418,84866.403,88204.984,87718.675,89019.084,94015.144,82522.577,84576.727,84569.957,81539.614,79569.15,76883.408,76403.475,79574.23,82240.613,82373.749,80643.31,75097.138,77167.5,74180.747,
Slovenia,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Total energy supply,Total,66366.188,64711.065,60006.021,62951.79,65508.708,70616.793,73615.442,76519.565,75081.734,74915.675,76013.18,80794.72,80928.304,82273.168,84633.653,87688.595,87088.009,88083.678,92838.644,81818.517,84032.933,83914.906,80679.305,78559.162,75919.315,75360.041,77906.612,80140.73,79338.796,78108.581,73638.772,76045.05,73922.47,
Spain,Available for final consumption,Total,708298.697,744858.259,741255.103,737916.201,780268.291,811746.056,802378.004,862595.824,916658.521,939719.709,993193.837,1044464.008,1053471.788,1108945.325,1157337.96,1183971.133,1155306.361,1184568.282,1143793.1,1061694.873,1063548.968,1035993.347,989013.488,937803.904,900252.49,927062.424,955416.436,1001774.84,1023062.245,1011576.985,913475.521,984060.051,964700.906,
Spain,Gross available energy,Total,1071298.422,1113780.841,1136001.673,1088102.246,1144325.983,1231284.143,1232764.961,1320832.739,1386922.261,1448880.246,1512335.56,1558557.072,1602233.892,1656730.398,1730668.808,1772256.065,1778387.885,1806626.147,1749716.537,1616254.706,1611184.007,1606227.516,1598772.302,1488239.78,1466307.974,1516567.117,1528592.105,1594933.328,1596356.488,1558601.938,1374290.841,1457943.596,1491304.889,
Spain,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Total energy supply,Total,1015360.894,1052764.175,1071374.173,1028390.885,1085533.927,1170078.726,1153081.211,1226347.239,1287612.65,1350263.079,1410035.921,1447330.684,1490665.864,1542133.676,1609909.502,1643219.26,1643706.024,1667682.703,1606871.093,1476906.428,1476962.618,1462701.516,1458158.052,1361392.835,1331899.641,1383439.451,1392295.216,1463948.939,1459409.238,1418158.938,1281791.788,1351289.341,1348258.034,
Sweden,Available for final consumption,Total,365896.733,373628.184,400322.283,395160.864,397013.94,412102.349,410606.479,410324.297,411523.911,409322.845,405977.881,400569.787,410525.4,390495.231,391035.465,387980.484,380718.185,380051.998,381601.934,365520.527,408791.115,415708.703,405456.531,397137.426,388150.825,370844.656,394558.389,405229.042,409148.567,391285.846,380658.944,398562.101,377230.805,
Sweden,Gross available energy,Total,558675.081,577352.751,550530.624,552127.602,591576.757,598555.169,612537.62,600496.201,612892.61,602051.737,570628.427,605111.612,615500.892,607322.088,634648.893,620405.328,607050.799,603921.603,600578.498,545871.554,609613.727,611271.84,609386.257,598951.237,593601.003,568153.395,594263.768,612323.604,614617.338,602028.649,550581.824,578219.012,557271.12,
Sweden,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Total energy supply,Total,546611.386,563840.057,535472.04,534909.824,572297.174,579313.697,592521.704,577901.923,587135.388,576309.126,546549.233,580515.112,595231.753,582483.838,605157.309,590387.328,575010.493,572113.881,567627.97,512799.332,578629.588,582440.979,581329.868,570891.237,565000.864,538091.839,561166.213,574217.305,582610.638,567627.188,516596.786,544252.326,525683.696,
