Country,Austria,Austria,Austria,Austria,Belgium,Belgium,Belgium,Belgium,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Croatia,Croatia,Croatia,Croatia,Cyprus,Cyprus,Cyprus,Cyprus,Czechia,Czechia,Czechia,Czechia,Denmark,Denmark,Denmark,Denmark,Estonia,Estonia,Estonia,Estonia,Finland,Finland,Finland,Finland,France,France,France,France,Germany,Germany,Germany,Germany,Greece,Greece,Greece,Greece,Hungary,Hungary,Hungary,Hungary,Ireland,Ireland,Ireland,Ireland,Italy,Italy,Italy,Italy,Latvia,Latvia,Latvia,Latvia,Lithuania,Lithuania,Lithuania,Lithuania,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Malta,Malta,Malta,Malta,Netherlands,Netherlands,Netherlands,Netherlands,Poland,Poland,Poland,Poland,Portugal,Portugal,Portugal,Portugal,Romania,Romania,Romania,Romania,Slovakia,Slovakia,Slovakia,Slovakia,Slovenia,Slovenia,Slovenia,Slovenia,Spain,Spain,Spain,Spain,Sweden,Sweden,Sweden,Sweden
Energy balance,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport,Renewable energy sources,Renewable energy sources in electricity,Renewable energy sources in heating and cooling,Renewable energy sources in transport
2013,32.665,68.909,33.222,9.695,7.671,12.547,7.639,5.088,18.898,18.682,29.234,5.886,28.04,42.077,37.308,2.715,8.428,6.654,22.537,1.127,13.927,12.781,17.706,6.445,27.173,43.084,34.679,6.456,25.356,12.948,43.112,0.448,36.63,30.543,50.772,10.665,13.88,16.977,17.608,7.6,13.757,25.284,13.408,7.299,15.326,21.241,27.418,0.98,16.205,6.6,23.699,6.341,7.521,20.96,5.185,4.898,16.741,31.302,18.092,5.411,37.037,48.685,49.65,4.029,22.689,13.149,36.873,4.835,3.494,5.329,5.33,4.074,3.76,1.571,15.399,3.484,4.691,9.911,4.002,5.343,11.452,10.676,14.265,6.666,25.699,49.101,34.628,0.925,23.886,37.516,26.195,5.445,10.133,20.8,7.875,6.212,23.16,33.081,35.116,3.769,15.081,36.027,13.967,0.95,50.153,61.737,61.708,15.315
2014,33.55,71.059,33.375,10.983,8.038,13.414,7.751,5.845,18.05,18.686,28.518,5.742,27.817,45.241,36.219,2.652,9.144,7.399,22.186,2.68,15.074,13.89,19.528,6.997,29.31,48.493,38.014,6.556,26.13,14.017,44.934,0.418,38.633,31.114,51.955,24.124,14.362,18.465,18.047,8.249,14.381,28.171,13.409,6.9,15.683,21.923,27.87,1.326,14.618,7.305,21.283,7.001,8.516,23.32,6.261,5.204,17.082,33.42,18.914,5.02,38.629,51.037,52.15,4.075,23.592,13.705,40.628,4.355,4.471,5.958,7.07,5.55,4.744,3.333,15.028,4.667,5.415,9.924,4.925,6.562,11.605,12.36,14.237,6.319,29.508,52.054,40.454,3.667,24.845,41.679,26.739,4.675,11.713,22.87,8.865,7.951,22.459,33.935,34.641,2.876,15.879,37.128,15.557,1.024,51.151,63.214,62.566,18.831
2015,33.497,71.487,33.231,11.409,8.06,15.573,7.942,3.921,18.261,18.975,28.903,6.492,28.969,45.409,38.619,2.361,9.903,8.445,24.066,2.521,15.07,14.072,19.787,6.537,30.469,51.292,39.536,6.432,28.987,16.152,50.031,0.413,39.23,32.207,52.618,24.567,14.803,18.821,18.879,8.366,14.901,30.882,13.432,6.569,15.69,22.089,26.557,1.1,14.495,7.341,21.335,7.169,9.083,25.725,6.184,5.942,17.525,33.459,19.255,6.505,37.538,52.205,51.738,3.639,25.748,15.543,46.081,4.582,4.987,6.197,6.858,6.7,5.119,4.312,14.639,4.679,5.714,11.04,5.278,5.597,11.881,13.401,14.795,5.686,30.514,52.616,40.1,7.431,24.785,43.161,25.886,5.488,12.882,22.656,10.791,8.631,22.879,32.722,36.15,2.242,16.221,36.972,16.85,1.088,52.22,65.733,63.235,21.49
2016,33.37,72.521,33.48,10.583,8.744,15.834,8.247,6.029,18.76,19.147,29.99,7.203,28.266,46.667,37.636,1.218,9.833,8.587,24.69,2.671,14.926,13.615,19.879,6.496,31.715,53.717,41.078,6.732,29.232,16.194,51.765,0.431,38.943,32.716,53.704,8.816,15.451,19.209,20.12,8.405,14.885,32.273,13.032,7.013,15.39,22.657,25.422,1.624,14.377,7.292,21.027,7.768,9.189,27.069,6.243,5.159,17.415,34.012,18.887,7.414,37.138,51.251,51.812,2.449,25.612,16.872,46.563,3.649,5.364,6.674,7.058,5.965,6.208,5.714,16.854,5.269,5.846,12.55,5.192,4.761,11.396,13.342,14.919,3.974,30.864,53.99,41.614,7.647,25.032,42.712,26.865,6.169,12.029,22.513,9.879,7.765,21.975,32.056,35.563,1.601,17.015,36.676,15.898,5.167,52.597,64.869,63.412,26.56
2017,33.136,71.626,33.67,9.703,9.136,17.214,8.2,6.637,18.695,19.022,29.854,7.273,27.28,46.437,36.627,1.174,10.478,8.911,26.42,2.561,14.799,13.654,19.728,6.616,34.387,59.94,44.063,6.935,29.538,17.583,52.217,0.417,40.857,35.044,54.593,18.679,15.847,19.933,20.599,8.765,15.472,34.612,13.369,7.028,17.3,24.464,28.246,4.001,13.556,7.513,19.902,7.731,10.52,30.318,6.624,7.442,18.267,34.104,20.083,6.484,39.008,54.352,54.582,2.27,26.038,18.255,46.495,4.3,6.194,8.055,7.45,6.478,7.219,6.845,19.314,6.826,6.507,13.812,5.75,5.842,11.059,13.082,14.779,4.232,30.611,54.168,41.022,7.914,24.454,41.965,26.581,6.558,11.465,21.343,9.837,6.95,21.658,32.425,34.639,2.571,17.118,36.465,16.205,5.798,53.39,65.909,63.62,26.842
2018,33.784,74.189,34.178,9.931,9.472,18.886,8.29,6.709,20.581,22.355,33.25,8.076,28.047,48.139,36.65,2.582,13.873,9.357,37.164,2.661,15.139,13.711,20.642,6.556,35.159,62.394,44.968,6.92,29.97,19.679,53.671,3.315,41.185,36.539,54.905,14.772,16.384,21.131,21.216,8.963,16.66,37.591,14.22,7.941,18.001,26.001,30.123,4.108,12.548,8.306,18.204,7.746,10.942,33.317,6.381,7.186,17.796,33.93,19.279,7.659,40.019,53.499,55.413,4.729,24.695,18.408,46.016,4.333,8.942,9.115,8.362,6.596,7.914,7.702,22.825,8.019,7.394,15.171,6.16,9.483,14.936,13.027,21.473,5.72,30.203,52.186,40.924,9.037,23.875,41.793,25.434,6.342,11.896,21.499,10.599,6.988,21.378,32.307,32.337,5.48,17.023,35.236,16.135,6.938,53.916,66.228,63.301,29.696
2019,33.755,75.067,33.929,10.051,9.929,20.817,8.319,6.817,21.545,23.509,35.423,7.893,28.466,49.783,36.791,5.855,13.777,9.756,35.051,3.316,16.239,14.046,22.632,7.841,37.02,65.347,47.302,7.11,31.73,21.998,52.193,6.243,42.807,37.969,56.884,14.845,17.174,22.389,22.36,9.248,17.266,40.604,14.504,7.63,19.633,31.295,30.048,4.049,12.634,9.969,18.16,8.057,11.979,36.46,6.344,8.917,18.181,34.969,19.699,9.047,40.929,53.423,57.749,4.554,25.474,18.79,47.372,4.049,7.046,10.863,8.687,7.707,8.23,7.485,23.602,8.902,8.886,18.23,7.217,12.326,15.377,14.356,22.005,6.2,30.623,53.774,41.657,9.089,24.29,42.616,25.739,7.846,16.894,22.103,19.696,8.308,21.968,32.632,32.132,7.983,17.852,37.131,17.203,7.61,55.785,71.234,64.394,30.309
2020,36.545,78.204,34.995,10.283,13.0,25.122,8.447,11.035,23.319,23.586,37.178,9.101,31.023,53.816,36.928,6.593,16.879,12.041,37.117,7.401,17.303,14.81,23.535,9.383,31.681,65.323,51.073,9.701,30.069,28.293,58.834,12.165,43.939,39.564,57.622,14.31,19.109,24.819,23.368,9.207,19.09,44.215,14.481,10.008,21.749,35.856,31.941,5.341,13.85,11.904,17.72,11.571,16.16,39.055,6.264,10.187,20.359,38.081,19.949,10.736,42.132,53.357,57.094,6.733,26.773,20.166,50.35,5.511,11.699,13.887,12.614,12.581,10.714,9.489,23.027,10.586,13.999,26.407,8.053,12.631,16.102,16.237,22.143,6.575,33.982,58.032,41.546,9.701,24.478,43.374,25.327,8.54,17.345,23.066,19.427,9.259,25.0,35.095,32.141,10.911,21.22,42.944,17.966,9.528,60.124,74.495,66.381,31.854
2021,34.792,73.881,33.432,9.568,13.076,26.018,9.279,10.315,19.445,21.413,30.015,7.613,31.285,53.471,38.006,6.985,19.069,14.84,42.595,7.189,17.614,14.468,24.349,6.74,41.813,72.92,51.292,10.51,37.342,29.197,61.347,11.187,42.854,39.583,52.085,20.728,19.316,24.733,24.643,8.116,19.281,43.88,15.529,8.102,22.001,35.881,31.081,4.414,14.134,13.66,17.898,6.165,12.996,37.665,5.564,4.645,18.883,35.996,19.335,9.87,42.096,51.399,57.36,6.436,28.166,21.278,48.624,6.467,11.726,14.216,12.888,7.968,12.631,9.649,32.606,10.516,12.956,33.251,7.785,9.222,15.62,17.167,21.007,5.677,33.982,58.433,42.681,8.611,23.871,42.676,24.573,8.917,17.419,22.402,19.521,8.755,25.0,34.976,35.216,10.642,20.55,46.001,16.957,9.207,62.527,75.76,68.53,28.677
2022,34.075,74.806,31.293,10.744,13.817,29.098,10.556,10.443,19.044,20.08,31.646,7.662,28.088,56.245,37.213,2.395,19.427,16.963,41.56,7.228,18.123,15.499,25.821,6.24,42.383,77.223,52.323,10.354,38.542,29.115,65.442,8.531,47.74,47.966,58.292,18.787,20.445,27.292,27.272,8.866,20.913,47.888,17.64,10.073,22.671,42.361,30.622,4.083,15.193,15.333,20.354,7.77,13.068,37.387,5.523,5.823,19.131,37.102,20.566,10.048,43.72,53.519,60.96,3.123,29.599,26.461,51.54,6.682,14.429,16.187,15.542,8.71,13.969,10.122,39.942,10.473,14.902,39.65,8.597,11.08,16.847,21.009,22.476,5.803,34.675,60.991,45.545,8.706,24.229,43.726,26.251,8.924,17.481,22.901,19.882,8.931,25.002,37.005,33.989,7.828,21.896,50.901,19.47,9.683,66.287,83.372,69.81,28.841
2023,40.844,87.764,39.387,13.207,14.741,31.37,11.304,12.095,22.583,29.426,35.029,8.088,28.051,58.826,36.173,0.919,20.213,20.939,42.75,7.285,18.586,16.448,27.769,5.653,44.923,79.392,54.898,10.803,40.95,31.845,66.668,9.065,50.75,52.375,61.264,20.646,22.283,29.981,29.927,10.028,21.547,52.24,17.101,11.858,25.269,48.225,35.547,3.942,17.361,19.536,22.724,7.575,15.253,40.428,7.862,7.578,19.561,38.1,21.626,10.25,43.223,54.317,61.356,1.358,31.926,36.469,53.611,7.231,11.619,18.044,15.48,7.99,15.077,10.74,47.474,10.748,17.154,46.4,9.613,13.435,16.496,25.793,20.242,5.986,35.163,63.01,47.098,11.162,25.757,47.391,29.126,8.025,16.99,24.201,18.794,9.182,25.066,41.887,34.302,10.021,24.852,56.933,21.449,11.96,66.393,87.547,67.068,33.645
